personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Jaroslav Hascak & family;1500.00.00;Slovakia;Investments;Finance & Investments;TRUE;1905;53.00.00;M;;
He Zhenggang;1500.00.00;China;Chemicals;Manufacturing;TRUE;1905;69.00.00;M;;
Niranjan Hiranandani;1500.00.00;India;Real estate;Real Estate;TRUE;1905;73.00.00;M;;
Ho Hung Anh;1500.00.00;Vietnam;Consumer products, banking;Finance & Investments;TRUE;1905;52.00.00;M;;
Archie Hwang;1500.00.00;Taiwan;Semiconductors;Technology;TRUE;1905;70.00.00;M;;
Peter Jackson;1500.00.00;New Zealand;Movies, digital effects;Media & Entertainment;TRUE;1905;61.00.00;M;Director;
Stephen Jarislowsky;1500.00.00;Canada;Money management;Finance & Investments;TRUE;1905;97.00.00;M;Cofounder and Chairman;
Rajeev Juneja;1500.00.00;India;Phamaceuticals;Healthcare;TRUE;1905;57.00.00;M;;
Ramesh Juneja;1500.00.00;India;Pharmaceuticals;Healthcare;TRUE;1905;67.00.00;M;;
Ke Xiping & family;1500.00.00;China;Investments;Diversified;TRUE;1905;62.00.00;M;;
Kim Jun-ki;1500.00.00;South Korea;Diversified;Diversified;TRUE;1905;78.00.00;M;;
Sidney Kimmel;1500.00.00;United States;Retail;Fashion & Retail;TRUE;1905;95.00.00;M;;
Jim Koch;1500.00.00;United States;Beer;Food & Beverage;TRUE;1905;73.00.00;M;;
Raj Kumar;1500.00.00;Singapore;Real estate, hotels;Real Estate;TRUE;1905;68.00.00;M;;
Spiro Latsis & family;1500.00.00;Switzerland;Banking, shipping;Diversified;FALSE;1905;76.00.00;M;;
Peter Leibinger;1500.00.00;Germany;Machine tools;Manufacturing;FALSE;1905;56.00.00;M;;
Regine Leibinger;1500.00.00;Germany;Machine tools;Manufacturing;FALSE;1905;60.00.00;F;;
Nicola Leibinger-Kammueller;1500.00.00;Germany;Manufacturing;Manufacturing;FALSE;1905;63.00.00;F;;
Li Jianli;1500.00.00;China;Lithium-ion battery cap;Manufacturing;TRUE;1905;50.00.00;M;;
Li Jiaquan;1500.00.00;China;Chemicals;Manufacturing;TRUE;1905;59.00.00;M;;
Li Rucheng;1500.00.00;China;Apparel;Fashion & Retail;TRUE;1905;71.00.00;M;;
Li Shui-po;1500.00.00;China;Stainless steel products;Manufacturing;TRUE;1905;66.00.00;M;;
Scott Lin;1500.00.00;Taiwan;Optical components;Technology;TRUE;1905;90.00.00;M;;
Liu Xiucai & family;1500.00.00;China;Chemicals;Manufacturing;TRUE;1905;66.00.00;M;;
Lu Zhongfang;1500.00.00;China;Education;Automotive;TRUE;1905;80.00.00;F;;
Lu Zongjun;1500.00.00;China;Logistics;Logistics;TRUE;1905;59.00.00;M;;
Youssef Mansour;1500.00.00;Egypt;Diversified;Diversified;TRUE;1905;77.00.00;M;;
Bruce Mathieson;1500.00.00;Australia;Hotels;Real Estate;TRUE;1905;79.00.00;M;;
Romano Minozzi;1500.00.00;Italy;Utilities, diversified;Diversified;TRUE;1905;88.00.00;M;;
Greg Mondre;1500.00.00;United States;Private equity;Finance & Investments;TRUE;1905;48.00.00;M;;
Mario Moretti Polegato & family;1500.00.00;Italy;Shoes;Fashion & Retail;TRUE;1905;70.00.00;M;;
Robert Mouawad;1500.00.00;Bahrain;Fine jewelry;Service;FALSE;1905;78.00.00;M;;
Jerry Moyes & family;1500.00.00;United States;Transportation;Logistics;TRUE;1905;79.00.00;M;;
John Ocampo;1500.00.00;United States;Semiconductors;Technology;TRUE;1905;63.00.00;M;;
