personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Paul-Heinz Wesjohann & family;2300.00.00;Germany;Chicken processing;Food & Beverage;TRUE;1312;79.00.00;M;;
Xie Bingkun & family;2300.00.00;China;Pearlescent pigments;Fashion & Retail;TRUE;1312;56.00.00;M;;
Xu Shugen;2300.00.00;China;Construction, mining machinery;Manufacturing;TRUE;1312;57.00.00;M;;
Christoph Zeller;2300.00.00;Liechtenstein;Dental materials;Healthcare;FALSE;1312;65.00.00;M;;
Zhang Jingzhang & family;2300.00.00;China;Precision machinery;Manufacturing;TRUE;1312;87.00.00;M;;
George Argyros & family;2200.00.00;United States;Real estate, investments;Real Estate;TRUE;1368;86.00.00;M;Investor;
Brian Armstrong;2200.00.00;United States;Cryptocurrency;Finance & Investments;TRUE;1368;40.00.00;M;;
Albert Avdolyan;2200.00.00;Russia;Oil, mining;Energy;TRUE;1368;52.00.00;M;;
Sezai Bacaksiz;2200.00.00;Turkey;Diversified;Diversified;TRUE;1368;73.00.00;M;;
Aneel Bhusri;2200.00.00;United States;Business software;Technology;TRUE;1368;57.00.00;M;Investor;
Brett Blundy;2200.00.00;Bahamas;Retail, agribusiness;Fashion & Retail;TRUE;1368;63.00.00;M;;
J. Hyatt Brown;2200.00.00;United States;Insurance;Finance & Investments;FALSE;1368;85.00.00;M;;
Chen Jinxia;2200.00.00;China;Investments;Finance & Investments;FALSE;1368;55.00.00;F;;
Chen Xueli;2200.00.00;China;Pharmaceuticals;Healthcare;TRUE;1368;71.00.00;M;;
Dermot Desmond;2200.00.00;Ireland;Finance;Finance & Investments;TRUE;1368;72.00.00;M;;
Dong Wei;2200.00.00;China;Pharmaceuticals;Healthcare;TRUE;1368;52.00.00;M;;
Tom Ford;2200.00.00;United States;Fashion;Fashion & Retail;TRUE;1368;61.00.00;M;;
Fu Guangming & family;2200.00.00;China;Poultry;Food & Beverage;TRUE;1368;69.00.00;M;;
Noam Gottesman;2200.00.00;United States;Hedge funds;Finance & Investments;TRUE;1368;61.00.00;M;Chief Executive Officer;
Jeffrey Gundlach;2200.00.00;United States;Investments;Finance & Investments;TRUE;1368;64.00.00;M;CEO;
Hao Hong;2200.00.00;China;Pharmaceuticals;Healthcare;TRUE;1368;67.00.00;M;;
Shmuel Harlap;2200.00.00;Israel;Automotive;Automotive;FALSE;1368;78.00.00;M;;
Hans-Werner Hector;2200.00.00;Germany;SAP;Technology;TRUE;1368;83.00.00;M;;
Lutz Mario Helmig & family;2200.00.00;Germany;Hospitals;Healthcare;TRUE;1368;76.00.00;M;;
Chulong Huang;2200.00.00;China;Real estate;Real Estate;TRUE;1368;64.00.00;M;;
Thomas James;2200.00.00;United States;Finance;Finance & Investments;FALSE;1368;80.00.00;M;;
James Jannard;2200.00.00;United States;Sunglasses;Fashion & Retail;TRUE;1368;73.00.00;M;;
Willis Johnson;2200.00.00;United States;Damaged cars;Automotive;TRUE;1368;75.00.00;M;;
Lai Shixian;2200.00.00;China;Sports apparel;Fashion & Retail;TRUE;1368;48.00.00;M;;
Chris Larsen;2200.00.00;United States;Cryptocurrency;Finance & Investments;TRUE;1368;62.00.00;M;;
Solomon Lew;2200.00.00;Australia;Retail;Fashion & Retail;TRUE;1368;78.00.00;M;;
Liang Xinjun;2200.00.00;Singapore;Conglomerate;Diversified;TRUE;1368;54.00.00;M;;
Harald Link;2200.00.00;Thailand;Diversified;Diversified;FALSE;1368;68.00.00;M;;
Max Lytvyn;2200.00.00;United States;Software;Technology;TRUE;1368;43.00.00;M;;
Igor Makarov;2200.00.00;United States;Investments;Energy;TRUE;1368;60.00.00;M;;
Howard Marks;2200.00.00;United States;Private equity;Finance & Investments;TRUE;1368;76.00.00;M;Chairman;
Charles Munger;2200.00.00;United States;Berkshire Hathaway;Finance & Investments;TRUE;1368;99.00.00;M;;
Adam Neumann;2200.00.00;United States;WeWork;Real Estate;TRUE;1368;44.00.00;M;;
Thi Phuong Thao Nguyen;2200.00.00;Vietnam;Airlines;Diversified;TRUE;1368;52.00.00;F;Cofounder and Chairman;
Ni Yongpei & family;2200.00.00;China;Beverages;Food & Beverage;TRUE;1368;71.00.00;M;;
Heloise Pratt;2200.00.00;Australia;Manufacturing, investment;Manufacturing;FALSE;1368;60.00.00;F;;
Qi Xiangdong;2200.00.00;China;Software;Technology;TRUE;1368;52.00.00;M;;
Phillip T. (Terry) Ragon;2200.00.00;United States;Health IT;Technology;TRUE;1368;73.00.00;M;;
Prathap Reddy;2200.00.00;India;Healthcare;Healthcare;TRUE;1368;91.00.00;M;;
Jerry Reinsdorf;2200.00.00;United States;Sports teams;Sports;TRUE;1368;87.00.00;M;;
Chad Richison;2200.00.00;United States;Payroll processing;Technology;TRUE;1368;52.00.00;M;;
Karl Scheufele; III. & family;2200.00.00;Switzerland;Jewelry;Fashion & Retail;TRUE;1368;84.00.00;M;
Alice Schwartz;2200.00.00;United States;Biotech;Healthcare;TRUE;1368;96.00.00;F;;
Alex Shevchenko;2200.00.00;Canada;Software;Technology;TRUE;1368;43.00.00;M;;
Kavitark Ram Shriram;2200.00.00;United States;Venture capital, Google;Technology;TRUE;1368;66.00.00;M;Investor;
Jeffrey Soffer;2200.00.00;United States;Real estate;Real Estate;FALSE;1368;55.00.00;M;;
William Stone;2200.00.00;United States;Software;Technology;TRUE;1368;67.00.00;M;;
Henry Swieca;2200.00.00;United States;Hedge funds;Finance & Investments;TRUE;1368;65.00.00;M;Founder;
Harley Sy;2200.00.00;Philippines;Diversified;Diversified;FALSE;1368;63.00.00;M;;
Teresita Sy-Coson;2200.00.00;Philippines;Diversified;Diversified;FALSE;1368;72.00.00;F;;
Katsumi Tada;2200.00.00;Japan;Real estate;Real Estate;TRUE;1368;77.00.00;M;;
Tang Jinkui & family;2200.00.00;China;Textiles, petrochemicals;Manufacturing;TRUE;1368;67.00.00;M;;
Tang Xiao'ou;2200.00.00;China;Software;Technology;TRUE;1368;55.00.00;M;;
Lottie Tham & family;2200.00.00;Sweden;H&M;Fashion & Retail;FALSE;1368;73.00.00;F;;
Shamsheer Vayalil;2200.00.00;United Arab Emirates;Healthcare;Healthcare;FALSE;1368;46.00.00;M;;
Radha Vembu;2200.00.00;India;Business software;Technology;FALSE;1368;50.00.00;F;;
Wang Wenmo;2200.00.00;China;Sports apparel;Fashion & Retail;TRUE;1368;66.00.00;M;;
Wang Zhenghua;2200.00.00;China;Budget airline;Service;TRUE;1368;78.00.00;M;;
David Wertheim;2200.00.00;Israel;Coca-Cola Israel;Food & Beverage;FALSE;1368;65.00.00;M;;
Kai Wu;2200.00.00;China;Batteries;Energy;TRUE;1368;55.00.00;M;;
Xu Yingzhuo;2200.00.00;China;Agribusiness;Food & Beverage;TRUE;1368;55.00.00;M;;
Yeung Kin-man;2200.00.00;Hong Kong;Electronics;Manufacturing;TRUE;1368;59.00.00;M;;
Huijiao Yu;2200.00.00;China;Package delivery;Logistics;TRUE;1368;57.00.00;M;Founder and Chairman;
Oren Zeev;2200.00.00;United States;Investments;Finance & Investments;TRUE;1368;58.00.00;M;;
Clayton Zekelman;2200.00.00;Canada;Steel;Manufacturing;FALSE;1368;54.00.00;M;;
Zhao Fenggang;2200.00.00;China;Batteries;Energy;TRUE;1368;57.00.00;M;;
Alex Beard;2100.00.00;United Kingdom;Mining, commodities;Metals & Mining;TRUE;1434;55.00.00;M;;
Travis Boersma;2100.00.00;United States;Coffee;Food & Beverage;TRUE;1434;52.00.00;M;;
Martin Bouygues;2100.00.00;France;Construction, media;Construction & Engineering;FALSE;1434;;M;;
Olivier Bouygues;2100.00.00;;Construction, media;Construction & Engineering;FALSE;1434;72.00.00;M;;
William Boyd & family;2100.00.00;United States;Casinos, banking;Gambling & Casinos;TRUE;1434;91.00.00;M;;
Anand Burman;2100.00.00;India;Consumer goods;Food & Beverage;FALSE;1434;70.00.00;M;;
Cao Ji;2100.00.00;China;Manufacturing;Manufacturing;TRUE;1434;71.00.00;M;;
Bruce Cheng;2100.00.00;Taiwan;Electronics;Technology;TRUE;1434;86.00.00;M;;
Chi Yufeng;2100.00.00;China;Software;Technology;FALSE;1434;52.00.00;M;;
Daniel Chiu;2100.00.00;Hong Kong;Oil & gas;Energy;TRUE;1434;62.00.00;M;;
Beda Diethelm;2100.00.00;Switzerland;Hearing aids;Healthcare;TRUE;1434;82.00.00;M;;
Domenico Dolce;2100.00.00;Italy;Luxury goods;Fashion & Retail;TRUE;1434;64.00.00;M;;
Ralph Dommermuth;2100.00.00;Germany;Internet service provider;Technology;TRUE;1434;59.00.00;M;;
Georgi Domuschiev;2100.00.00;United Kingdom;Animal health, investments;Diversified;TRUE;1434;50.00.00;M;;
Kiril Domuschiev;2100.00.00;United Kingdom;Animal health, investments;Diversified;TRUE;1434;53.00.00;M;;
Bob Ell;2100.00.00;Australia;Real estate;Real Estate;TRUE;1434;78.00.00;M;;
Paul Foster;2100.00.00;United States;Oil refining;Energy;TRUE;1434;65.00.00;M;Chairman;
Stefano Gabbana;2100.00.00;Italy;Luxury goods;Fashion & Retail;TRUE;1434;60.00.00;M;;
Xingjiang Gao;2100.00.00;China;Steel;Manufacturing;TRUE;1434;59.00.00;M;;
Gordon Getty;2100.00.00;United States;Getty Oil;Energy;FALSE;1434;89.00.00;M;President and Chairman;
Kamal Ghaffarian;2100.00.00;United States;Space, energy;Energy;TRUE;1434;64.00.00;M;;
Dennis Gillings;2100.00.00;United States;Clinical trials;Healthcare;TRUE;1434;78.00.00;M;;
Harsh Goenka;2100.00.00;India;Diversified;Diversified;FALSE;1434;65.00.00;M;;
Sanjiv Goenka;2100.00.00;India;Diversified;Diversified;FALSE;1434;62.00.00;M;;
Jane Goldman;2100.00.00;United States;Real estate;Real Estate;FALSE;1434;67.00.00;F;;
Stein Erik Hagen;2100.00.00;Norway;Consumer goods;Fashion & Retail;TRUE;1434;66.00.00;M;;
Bahaa Hariri;2100.00.00;Switzerland;Real estate, investments;Real Estate;FALSE;1434;56.00.00;M;;
Hortensia Herrero;2100.00.00;Spain;Supermarkets;Fashion & Retail;FALSE;1434;72.00.00;F;;
Douglas Hsu;2100.00.00;Taiwan;Diversified;Diversified;FALSE;1434;80.00.00;M;;
Huang Min;2100.00.00;China;Machinery;Manufacturing;TRUE;1434;49.00.00;M;;
Jared Isaacman;2100.00.00;United States;Payment processing;Technology;TRUE;1434;40.00.00;M;;
Eugene Kaspersky;2100.00.00;Russia;Software;Technology;TRUE;1434;57.00.00;M;;
Artem Khachatryan;2100.00.00;Cyprus;Retail;Fashion & Retail;TRUE;1434;48.00.00;M;;
Andrei Krivenko;2100.00.00;Russia;Retail;Food & Beverage;TRUE;1434;47.00.00;M;;
Thomas Kwok;2100.00.00;Hong Kong;Real estate;Real Estate;FALSE;1434;71.00.00;M;;
Lam Wai-ying;2100.00.00;Hong Kong;Smartphone screens;Manufacturing;TRUE;1434;;F;Chairman ;
Marc Lasry;2100.00.00;United States;Hedge funds;Finance & Investments;TRUE;1434;62.00.00;M;Founder;
Christian Latouche & family;2100.00.00;France;Accounting services;Finance & Investments;TRUE;1434;82.00.00;M;;
Theodore Leonsis;2100.00.00;United States;Sports teams;Sports;TRUE;1434;67.00.00;M;;
Lin Chang Su-O;2100.00.00;Taiwan;Real estate;Real Estate;FALSE;1434;82.00.00;F;;
Liu Chengyu & family;2100.00.00;China;Power supply equipment;Manufacturing;TRUE;1434;60.00.00;M;;
Sergey Lomakin;2100.00.00;Cyprus;Retail;Fashion & Retail;TRUE;1434;49.00.00;M;;
Daniel Lubetzky;2100.00.00;United States;Snack bars;Food & Beverage;TRUE;1434;54.00.00;M;;
Melissa Ma;2100.00.00;China;Internet search;Technology;TRUE;1434;;F;;
Anand Mahindra;2100.00.00;India;Diversified;Diversified;FALSE;1434;67.00.00;M;;
Rafique Malik;2100.00.00;India;Footwear;Fashion & Retail;FALSE;1434;72.00.00;M;;
Katarina Martinson;2100.00.00;Sweden;Investments;Diversified;FALSE;1434;41.00.00;F;;
Kiran Mazumdar-Shaw;2100.00.00;India;Biopharmaceuticals;Healthcare;TRUE;1434;70.00.00;F;Chair;
Nirmal Minda;2100.00.00;India;Auto parts;Automotive;FALSE;1434;65.00.00;M;;
Mu Rongjun;2100.00.00;China;E-commerce;Technology;TRUE;1434;43.00.00;M;;
Eugene Murtagh;2100.00.00;Ireland;Building materials;Manufacturing;TRUE;1434;80.00.00;M;;
Alexander Nesis;2100.00.00;Russia;Metals, banking, fertilizers;Finance & Investments;TRUE;1434;60.00.00;M;;
Ni Zugen;2100.00.00;China;Appliances;Manufacturing;TRUE;1434;66.00.00;M;;
Florentino Perez;2100.00.00;Spain;Construction;Construction & Engineering;TRUE;1434;76.00.00;M;;
Victor Pinchuk;2100.00.00;Ukraine;Steel pipes, diversified;Metals & Mining;TRUE;1434;62.00.00;M;;
Leonid Radvinsky;2100.00.00;United States;E-commerce;Technology;TRUE;1434;40.00.00;M;;
Raveendran Byju;2100.00.00;India;Education technology;Technology;TRUE;1434;41.00.00;M;;
P.P. Reddy;2100.00.00;India;Infrastructure;Construction & Engineering;TRUE;1434;65.00.00;M;;
Richard Saghian;2100.00.00;United States;Fast fashion;Fashion & Retail;TRUE;1434;41.00.00;M;;
Shi Yifeng;2100.00.00;China;Medical cosmetics;Healthcare;TRUE;1434;49.00.00;M;;
Thaksin Shinawatra;2100.00.00;United Arab Emirates;Investments;Finance & Investments;TRUE;1434;73.00.00;M;;
Shu Ping;2100.00.00;Singapore;Restaurants;Food & Beverage;TRUE;1434;53.00.00;F;;
Timothy Springer;2100.00.00;United States;Biotech;Healthcare;TRUE;1434;75.00.00;M;;
Venu Srinivasan;2100.00.00;India;Two-wheelers;Automotive;FALSE;1434;70.00.00;M;;
Edward Stack;2100.00.00;United States;Dick's Sporting Goods;Fashion & Retail;TRUE;1434;68.00.00;M;Chairman and CEO;
Sun Mengquan & family;2100.00.00;China;Edible oil;Food & Beverage;TRUE;1434;73.00.00;M;;
Alexander Svetakov;2100.00.00;Russia;Real estate;Finance & Investments;TRUE;1434;55.00.00;M;;
Torsten Toeller;2100.00.00;Germany;Pet food;Fashion & Retail;TRUE;1434;56.00.00;M;;
Barbara Tyson;2100.00.00;United States;Food processing;Food & Beverage;FALSE;1434;74.00.00;F;;
Hamdi Ulukaya;2100.00.00;United States;Greek yogurt;Food & Beverage;TRUE;1434;50.00.00;M;Founder and CEO;
Wang Linpeng;2100.00.00;China;Furniture retailing;Construction & Engineering;TRUE;1434;54.00.00;M;;
Wei Ing-Chou;2100.00.00;China;Food, beverages;Food & Beverage;TRUE;1434;69.00.00;M;;
Wei Yin-Chun;2100.00.00;Taiwan;Food, beverages;Food & Beverage;TRUE;1434;66.00.00;M;;
Wei Yin-Heng;2100.00.00;China;Food, beverages;Food & Beverage;TRUE;1434;64.00.00;M;;
Wei Ying-Chiao;2100.00.00;Taiwan;Food, beverages;Food & Beverage;TRUE;1434;68.00.00;M;;
Elaine Wynn;2100.00.00;United States;Casinos, hotels;Gambling & Casinos;TRUE;1434;80.00.00;F;Board Member;
Xu Xudong & family;2100.00.00;China;Auto parts;Automotive;TRUE;1434;53.00.00;M;;
Michael Ying;2100.00.00;Hong Kong;Retail;Fashion & Retail;TRUE;1434;73.00.00;M;;
Yu Qibing & family;2100.00.00;China;Glass;Manufacturing;TRUE;1434;57.00.00;M;;
Yuan Fugen & family;2100.00.00;China;Metal processing;Manufacturing;TRUE;1434;72.00.00;M;;
Zhang Ning & family;2100.00.00;China;Chemicals;Manufacturing;TRUE;1434;49.00.00;F;;
Zhao Tao;2100.00.00;China;Pharmaceuticals;Healthcare;FALSE;1434;57.00.00;M;;
Anu Aga;2000.00.00;India;Engineering;Construction & Engineering;FALSE;1516;80.00.00;F;;
Mohamed Al Fayed;2000.00.00;United Kingdom;Retail, investments;Fashion & Retail;TRUE;1516;94.00.00;M;;
Andrey Andreev;2000.00.00;United Kingdom;Online dating;Technology;TRUE;1516;49.00.00;M;;
Michael Ashcroft;2000.00.00;Turks and Caicos Islands;Security;Finance & Investments;TRUE;1516;77.00.00;M;;
Pavel Baudis;2000.00.00;Czech Republic;Software;Technology;TRUE;1516;62.00.00;M;;
Wilhelm Beier & family;2000.00.00;Germany;Pharmaceuticals;Healthcare;TRUE;1516;66.00.00;M;;
Cao Jianwei;2000.00.00;China;Semiconductors;Manufacturing;TRUE;1516;44.00.00;M;;
Huwen Chen;2000.00.00;China;Stationery;Manufacturing;TRUE;1516;52.00.00;M;;
Phongthep Chiaravanont;2000.00.00;Thailand;Diversified;Diversified;FALSE;1516;71.00.00;M;;
Dou Zhenggang;2000.00.00;China;Energy, chemicals;Diversified;TRUE;1516;69.00.00;M;;
Maria Franca Fissolo;2000.00.00;Monaco;Nutella, chocolates;Food & Beverage;FALSE;1516;88.00.00;F;;
William Franke;2000.00.00;United States;Low-cost airlines;Diversified;TRUE;1516;85.00.00;M;;
Mario Germano Giuliani;2000.00.00;Monaco;Pharmaceuticals;Healthcare;FALSE;1516;51.00.00;M;;
Amy Goldman Fowler;2000.00.00;United States;Real estate;Real Estate;FALSE;1516;68.00.00;F;;
John Hancock;2000.00.00;United Kingdom;Mining;Metals & Mining;FALSE;1516;47.00.00;M;;
Hu Yangzhong;2000.00.00;China;Technology;Technology;TRUE;1516;58.00.00;M;;
Huang Dawen;2000.00.00;Hong Kong;Silicon;Manufacturing;TRUE;1516;62.00.00;M;;
Huang Qiaoling;2000.00.00;China;Amusement parks;Media & Entertainment;TRUE;1516;64.00.00;M;;
Rajiv Jain;2000.00.00;United States;Finance;Finance & Investments;TRUE;1516;55.00.00;M;;
Michael Jordan;2000.00.00;United States;Charlotte Hornets, endorsements;Sports;TRUE;1516;60.00.00;M;Athlete;
Diane Kemper;2000.00.00;United States;Real estate;Real Estate;FALSE;1516;77.00.00;F;;
Shlomo Kramer;2000.00.00;Israel;Software, investments;Technology;TRUE;1516;57.00.00;M;;
Heikki Kyostila;2000.00.00;Finland;Dental products;Healthcare;TRUE;1516;77.00.00;M;;
Martin Lau;2000.00.00;Hong Kong;E-commerce;Technology;TRUE;1516;50.00.00;M;;
Li Min;2000.00.00;China;Semiconductor;Technology;TRUE;1516;57.00.00;M;;
Liang Rubo;2000.00.00;China;TikTok;Technology;TRUE;1516;40.00.00;M;;
Liang Zhaoxian;2000.00.00;China;Appliances;Manufacturing;FALSE;1516;58.00.00;M;;
Lin Fanlian;2000.00.00;China;Energy, real estate;Energy;TRUE;1516;61.00.00;M;;
Aloke Lohia;2000.00.00;Thailand;Petrochemicals;Manufacturing;FALSE;1516;64.00.00;M;;
Bill Malhotra;2000.00.00;Canada;Real estate;Real Estate;TRUE;1516;73.00.00;M;;
Alexander Mamut;2000.00.00;Israel;Investments;Finance & Investments;TRUE;1516;63.00.00;M;;
Craig McCaw;2000.00.00;United States;Telecom;Telecom;FALSE;1516;73.00.00;M;;
Cunhui Nan;2000.00.00;China;Power equipment;Manufacturing;TRUE;1516;59.00.00;M;;
Tengyun Nie & family;2000.00.00;China;Logistics;Service;TRUE;1516;47.00.00;M;;
Oei Hong Leong;2000.00.00;Singapore;Investments;Finance & Investments;FALSE;1516;75.00.00;M;;
Clive Palmer;2000.00.00;Australia;Mining;Metals & Mining;TRUE;1516;69.00.00;M;;
Matthew Prince;2000.00.00;United States;Cybersecurity;Technology;TRUE;1516;48.00.00;M;;
Linda Pritzker;2000.00.00;United States;Hotels, investments;Service;FALSE;1516;69.00.00;F;;
P.V. Krishna Reddy;2000.00.00;India;Infrastructure;Construction & Engineering;TRUE;1516;53.00.00;M;;
Bianca Rinehart;2000.00.00;Australia;Mining;Metals & Mining;FALSE;1516;46.00.00;F;;
Ginia Rinehart;2000.00.00;Australia;Mining;Metals & Mining;FALSE;1516;36.00.00;F;;
T. Denny Sanford;2000.00.00;United States;Banking, credit cards;Finance & Investments;TRUE;1516;87.00.00;M;;
Bhadresh Shah;2000.00.00;India;Engineering;Manufacturing;TRUE;1516;71.00.00;M;;
Zygmunt Solorz-Zak;2000.00.00;Poland;TV broadcasting;Media & Entertainment;TRUE;1516;66.00.00;M;;
Michal Strnad;2000.00.00;;Defense Contracting;Manufacturing;FALSE;1516;30.00.00;M;;
Sylvia Stroeher;2000.00.00;Germany;Cosmetics;Fashion & Retail;FALSE;1516;67.00.00;F;;
Otto Toto Sugiri;2000.00.00;Indonesia;Data centers;Technology;TRUE;1516;69.00.00;M;;
Larry Tanenbaum;2000.00.00;Canada;Sports;Sports;TRUE;1516;77.00.00;M;;
Wichai Thongtang;2000.00.00;Thailand;Investments;Finance & Investments;TRUE;1516;76.00.00;M;;
Ion Tiriac;2000.00.00;Romania;Banking, insurance;Finance & Investments;TRUE;1516;83.00.00;M;;
Hope Welker;2000.00.00;United States;Mining;Metals & Mining;FALSE;1516;37.00.00;F;;
William Young;2000.00.00;United States;Plastics;Manufacturing;TRUE;1516;82.00.00;M;;
Ales Zavoral;2000.00.00;;E-commerce;Fashion & Retail;TRUE;1516;46.00.00;M;;
Zhang Fan;2000.00.00;China;Touch screens;Technology;TRUE;1516;57.00.00;M;;
Shilong Zhang & family;2000.00.00;China;Semiconductor;Technology;TRUE;1516;57.00.00;M;;
Zhang Wanzhen;2000.00.00;China;Electronics components;Manufacturing;TRUE;1516;73.00.00;M;;
Hongfei Zhao;2000.00.00;China;Software;Technology;TRUE;1516;48.00.00;M;;
Zhou Jian;2000.00.00;China;Solar energy equipment;Energy;TRUE;1516;46.00.00;M;;
Zhu Yiwen & family;2000.00.00;China;Healthcare;Healthcare;TRUE;1516;59.00.00;M;;
Roberto Angelini Rossi;1900.00.00;Chile;Forestry, mining;Diversified;FALSE;1575;74.00.00;M;;
Mika Anttonen;1900.00.00;Finland;Oil & gas;Energy;TRUE;1575;56.00.00;M;;
David Blitzer;1900.00.00;United States;Sports;Sports;TRUE;1575;53.00.00;M;;
Julio Bozano;1900.00.00;Brazil;Banking;Finance & Investments;TRUE;1575;87.00.00;M;;
Nikolai Buinov;1900.00.00;Russia;Oil, gas;Energy;TRUE;1575;55.00.00;M;;
Nicola Bulgari;1900.00.00;Italy;Luxury goods;Fashion & Retail;FALSE;1575;82.00.00;M;;
Howard Butt; III. & family;1900.00.00;United States;Supermarkets;Fashion & Retail;FALSE;1575;71.00.00;M;
Stephen Butt & family;1900.00.00;;Supermarkets;Fashion & Retail;FALSE;1575;67.00.00;M;;
Jianxing Che;1900.00.00;China;Furniture retailing;Fashion & Retail;TRUE;1575;56.00.00;M;;
Huxiong Chen;1900.00.00;China;Stationery;Manufacturing;TRUE;1575;52.00.00;M;;
Chen Qiongxiang;1900.00.00;China;Batteries;Energy;TRUE;1575;;F;;
Chen Zhisong;1900.00.00;China;Communication equipment;Technology;TRUE;1575;57.00.00;M;;
Manas Chiaravanond;1900.00.00;Thailand;Diversified;Diversified;FALSE;1575;;M;;
Prathip Chiravanond;1900.00.00;Thailand;Diversified;Diversified;FALSE;1575;74.00.00;M;;
Alexandra Daitch;1900.00.00;United States;Cargill;Food & Beverage;FALSE;1575;60.00.00;F;;
Sol Daurella;1900.00.00;Spain;Coca-Cola bottler;Food & Beverage;FALSE;1575;57.00.00;F;;
Mark Davis;1900.00.00;United States;Las Vegas Raiders;Sports;FALSE;1575;67.00.00;M;;
James Dinan;1900.00.00;United States;Hedge funds;Finance & Investments;TRUE;1575;63.00.00;M;Founder;
Dong Fan;1900.00.00;China;Medical devices;Healthcare;TRUE;1575;53.00.00;M;;
Fritz Draexlmaier;1900.00.00;Germany;Auto parts;Automotive;FALSE;1575;;M;;
Bulent Eczacibasi;1900.00.00;Turkey;Pharmaceuticals, diversified;Diversified;FALSE;1575;73.00.00;M;;
Faruk Eczacibasi;1900.00.00;Turkey;Pharmaceuticals, diversified;Diversified;FALSE;1575;68.00.00;M;;
Eduardo Eurnekian;1900.00.00;Argentina;Airports, investments;Diversified;TRUE;1575;90.00.00;M;;
David Fong;1900.00.00;Hong Kong;Real estate;Real Estate;FALSE;1575;65.00.00;M;;
Guo Zhenyu & family;1900.00.00;China;Cosmetics;Fashion & Retail;TRUE;1575;59.00.00;M;;
Surjit Kumar Gupta;1900.00.00;India;Electrical equipment;Manufacturing;FALSE;1575;81.00.00;M;;
Caroline Hagen Kjos;1900.00.00;Switzerland;Conglomerate;Diversified;FALSE;1575;39.00.00;F;;
Roberto Herna&#769;;;;;;;;;;
Reid Hoffman;1900.00.00;United States;LinkedIn;Technology;TRUE;1575;55.00.00;M;Partner;
Hu Rongda & family;1900.00.00;China;Chemicals;Manufacturing;TRUE;1575;64.00.00;M;;
B. Wayne Hughes; Jr.;1900.00.00;United States;Storage facilities;Real Estate;FALSE;1575;63.00.00;M;
Hui Wing Mau;1900.00.00;Hong Kong;Real estate;Real Estate;TRUE;1575;72.00.00;M;;
Scott Kapnick;1900.00.00;United States;Private equity;Finance & Investments;TRUE;1575;64.00.00;M;Investor;
Richard Kayne;1900.00.00;United States;Investments;Finance & Investments;TRUE;1575;77.00.00;M;;
Dominika Kulczyk;1900.00.00;United Kingdom;Diversified;Finance & Investments;FALSE;1575;45.00.00;F;;
Edward Lampert;1900.00.00;United States;Sears;Finance & Investments;TRUE;1575;60.00.00;M;Founder;
Somsri Lamsam;1900.00.00;Thailand;Diversified;Diversified;FALSE;1575;;M;;
James Leprino;1900.00.00;United States;Cheese;Food & Beverage;FALSE;1575;85.00.00;M;Chairman;
David Lichtenstein;1900.00.00;United States;Real estate;Real Estate;TRUE;1575;61.00.00;M;;
Lin Dingqiang & family;1900.00.00;China;Real estate;Real Estate;TRUE;1575;56.00.00;M;;
Sarah MacMillan;1900.00.00;United States;Cargill;Food & Beverage;FALSE;1575;69.00.00;F;;
Strive Masiyiwa;1900.00.00;United Kingdom;Telecom;Telecom;TRUE;1575;62.00.00;M;;
Robert Miller;1900.00.00;Hong Kong;Retail;Fashion & Retail;TRUE;1575;89.00.00;M;;
Simon Nixon;1900.00.00;United Kingdom;Price comparison website;Technology;TRUE;1575;55.00.00;M;;
Kentaro Ogawa;1900.00.00;Japan;Restaurants;Food & Beverage;TRUE;1575;74.00.00;M;;
Ajay Parekh;1900.00.00;India;Adhesives;Manufacturing;FALSE;1575;65.00.00;M;;
Narendrakumar Parekh;1900.00.00;India;Adhesives;Manufacturing;FALSE;1575;84.00.00;M;;
Jennifer Pritzker;1900.00.00;United States;Hotels, investments;Finance & Investments;FALSE;1575;72.00.00;F;CEO;
G. Rajendran;1900.00.00;India;Jewellery;Fashion & Retail;TRUE;1575;80.00.00;M;;
Ren Jianhua;1900.00.00;China;Kitchen appliances;Manufacturing;TRUE;1575;66.00.00;M;;
Larry Robbins;1900.00.00;United States;Hedge funds;Finance & Investments;TRUE;1575;53.00.00;M;Investor;
Dwight Schar;1900.00.00;United States;Homebuilding, NFL team;Construction & Engineering;TRUE;1575;81.00.00;M;;
Shao Jianxiong;1900.00.00;China;Photovoltaics;Energy;TRUE;1575;;M;;
Qinxiang Shao;1900.00.00;China;Diversified;Manufacturing;TRUE;1575;68.00.00;M;;
Hua Shen;1900.00.00;China;Semiconductors;Technology;TRUE;1575;60.00.00;M;;
Shi Wen-long;1900.00.00;Taiwan;Plastics;Manufacturing;TRUE;1575;95.00.00;M;;
Peter Sondakh;1900.00.00;Indonesia;Investments;Finance & Investments;TRUE;1575;73.00.00;M;;
Lucy Stitzer;1900.00.00;United States;Cargill;Food & Beverage;FALSE;1575;63.00.00;F;;
Elizabeth Sy;1900.00.00;Philippines;Diversified;Diversified;FALSE;1575;70.00.00;F;;
Hermanto Tanoko;1900.00.00;Indonesia;Paints;Manufacturing;FALSE;1575;60.00.00;M;;
Mehmet Sinan Tara;1900.00.00;Turkey;Construction;Construction & Engineering;FALSE;1575;64.00.00;M;;
